License,Owner,Street,City,State,Zip,Lat,Lon
200161724,"LeRoy and Lewis Emerald Forest Departure, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Levy Premium Foodservice LLC ,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,"LTF Club Operations Company, Inc.",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200139103,Grisgris LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200161724,Ling Kitchen LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,Qi Austin LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,Ling Wu Grove LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,NICAT LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,Patagonia Hospitality Inc,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,LW Parmer LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LW 6th Street LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LW Tech Ridge LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LW Burnet LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,LW Southpark LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,Pacha Peru LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200139103,Farm Stand LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200161724,"Lonestar Libations, LLC",2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,Queen Bee restos llc,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,LONGHORN WINE & SPIRITS LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200161724,Loro Growth LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200099488,"RODEMIL ENTERPRISES, LLC",12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200161724,Los Dos Tacos LLC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200059371,AMIGOS SUPERMERCADO INC.,704 W St Johns Ave,Austin,TX,78752,30.337186,-97.75495
200161724,Los Jarochos Dos INC,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200176564,MARGARITA PINA,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
200176564,MML 2021 Acquisition Sub LLC,539 W Oltorf St,Austin,TX,78704,30.241758,-97.759156
